sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,C_proc,kappa,phi1,lambda_cost,w_IT,w_TPE,json_sweep_key,optimal_g_utility,max_utility,it_final_at_opt_g,tpe_at_opt_g,eg_at_opt_g,mi_raw_at_opt_g
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.05,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.05, 1.25, 0.05, 1.0, 0.5)",0.7448979591836735,3.0169300457285186,3.023787332178467,0.010254454301306427,0.034601185985901846,3.023787332178467
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.05,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.05, 1.25, 0.1, 1.0, 0.5)",1.3897959183673472,3.013078336333054,3.033317220306125,0.025387783579065515,0.07544992183537502,3.033317220306125
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.0, 0.01, 1.0, 0.5)",0.7448979591836735,3.0331163705142483,3.0392074585151208,0.010692380083380248,0.07448979591836735,3.0392074585151208
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.0, 0.05, 1.0, 0.5)",0.9061224489795919,3.0409221711595733,3.047589526858411,0.0042734869078793055,0.0906122448979592,3.047589526858411
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.0, 0.1, 1.0, 0.5)",1.0673469387755103,3.0105838740737902,3.023862263769113,0.005209840615134227,0.10673469387755104,3.023862263769113
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.25, 0.01, 1.0, 0.5)",1.2285714285714289,3.024212854835167,3.0314482349705685,0.011883855095264713,0.12934525877703384,3.0314482349705685
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.25, 0.05, 1.0, 0.5)",1.2285714285714289,3.0264152300307074,3.0389989985755803,0.012233011212042528,0.12934525877703384,3.0389989985755803
0.0025000000000000005,0.01,1.0,1.0,0.5,4.0,0.1,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 4.0, 0.1, 1.25, 0.1, 1.0, 0.5)",0.7448979591836735,3.025151982085149,3.0373705528177894,0.010596667070919474,0.06920237197180369,3.0373705528177894
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.0, 0.01, 1.0, 0.5)",1.2285714285714289,3.0336472828784107,3.040808092111042,0.013093047036691032,0.061428571428571443,3.040808092111042
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.0, 0.05, 1.0, 0.5)",2.0346938775510206,3.0128093565405987,3.0746412799705056,0.11349037747205822,0.10173469387755103,3.0746412799705056
