sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,optimal_g_mse,min_mse_at_opt_g
0.0025000000000000005,0.001,1.5,2.5,0.5,0.9999999999999999,0.0025056375879448775
0.0025000000000000005,0.001,1.5,2.5,1.0,0.9999999999999999,0.002488897539617858
0.0025000000000000005,0.001,1.5,2.5,1.5,0.9999999999999999,0.002495448030191758
0.0025000000000000005,0.001,1.5,2.5,2.0,0.9999999999999999,0.002432383897887152
0.0025000000000000005,0.001,1.5,5.0,0.5,0.9999999999999999,0.0025149815174612287
0.0025000000000000005,0.001,1.5,5.0,1.0,0.9999999999999999,0.0025958561673780417
0.0025000000000000005,0.001,1.5,5.0,1.5,0.9999999999999999,0.002538750631932845
0.0025000000000000005,0.001,1.5,5.0,2.0,0.9999999999999999,0.002505350257725081
0.0025000000000000005,0.001,2.0,0.75,0.5,0.9999999999999999,0.0024975577069819917
0.0025000000000000005,0.001,2.0,0.75,1.0,0.9999999999999999,0.016523427477392674
0.0025000000000000005,0.001,2.0,0.75,1.5,0.9999999999999999,0.19545533458095746
0.0025000000000000005,0.001,2.0,0.75,2.0,0.9999999999999999,0.6081693259224391
0.0025000000000000005,0.001,2.0,1.0,0.5,0.9999999999999999,0.0024620745821537587
0.0025000000000000005,0.001,2.0,1.0,1.0,0.9999999999999999,0.0022254089912432324
0.0025000000000000005,0.001,2.0,1.0,1.5,0.9999999999999999,0.07134272303738955
0.0025000000000000005,0.001,2.0,1.0,2.0,0.9999999999999999,0.3468760000075056
0.0025000000000000005,0.001,2.0,2.5,0.5,0.9999999999999999,0.0024891175966730216
0.0025000000000000005,0.001,2.0,2.5,1.0,0.9999999999999999,0.0025220140404220736
0.0025000000000000005,0.001,2.0,2.5,1.5,0.9999999999999999,0.002448626314365345
0.0025000000000000005,0.001,2.0,2.5,2.0,0.9999999999999999,0.0024423481002623887
0.0025000000000000005,0.001,2.0,5.0,0.5,0.9999999999999999,0.0023754462976499635
0.0025000000000000005,0.001,2.0,5.0,1.0,0.9999999999999999,0.0025967127112949484
0.0025000000000000005,0.001,2.0,5.0,1.5,0.9999999999999999,0.0025273571621155615
0.0025000000000000005,0.001,2.0,5.0,2.0,0.9999999999999999,0.002558212172307924
0.0025000000000000005,0.01,1.0,0.75,0.5,0.9999999999999999,0.002488332076213678
0.0025000000000000005,0.01,1.0,0.75,1.0,0.9999999999999999,0.016525618275558977
0.0025000000000000005,0.01,1.0,0.75,1.5,0.9999999999999999,0.1954639770271946
0.0025000000000000005,0.01,1.0,0.75,2.0,0.9999999999999999,0.6081644195142388
0.0025000000000000005,0.01,1.0,1.0,0.5,0.9999999999999999,0.002465202781339782
0.0025000000000000005,0.01,1.0,1.0,1.0,0.9999999999999999,0.0021740018858676336
0.0025000000000000005,0.01,1.0,1.0,1.5,0.9999999999999999,0.0713049407362839
0.0025000000000000005,0.01,1.0,1.0,2.0,0.9999999999999999,0.346833042571658
0.0025000000000000005,0.01,1.0,2.5,0.5,0.9999999999999999,0.0025665658692619834
0.0025000000000000005,0.01,1.0,2.5,1.0,0.9999999999999999,0.002576173318624448
0.0025000000000000005,0.01,1.0,2.5,1.5,0.9999999999999999,0.0024580333757329084
0.0025000000000000005,0.01,1.0,2.5,2.0,0.9999999999999999,0.002522702636172708
0.0025000000000000005,0.01,1.0,5.0,0.5,0.9999999999999999,0.0024625010046873327
0.0025000000000000005,0.01,1.0,5.0,1.0,0.9999999999999999,0.0025026234459556906
0.0025000000000000005,0.01,1.0,5.0,1.5,0.9999999999999999,0.0025315721404097708
0.0025000000000000005,0.01,1.0,5.0,2.0,0.9999999999999999,0.002555965459406081
0.0025000000000000005,0.01,1.5,0.75,0.5,0.9999999999999999,0.0025094052183829226
0.0025000000000000005,0.01,1.5,0.75,1.0,0.9999999999999999,0.016471720738421354
0.0025000000000000005,0.01,1.5,0.75,1.5,0.9999999999999999,0.19546196925237852
0.0025000000000000005,0.01,1.5,0.75,2.0,0.9999999999999999,0.6081478629439784
0.0025000000000000005,0.01,1.5,1.0,0.5,0.9999999999999999,0.0026557942655760815
0.0025000000000000005,0.01,1.5,1.0,1.0,0.9999999999999999,0.0023143514129512614
0.0025000000000000005,0.01,1.5,1.0,1.5,0.9999999999999999,0.07137348842228843
0.0025000000000000005,0.01,1.5,1.0,2.0,0.9999999999999999,0.34677678155279973
0.0025000000000000005,0.01,1.5,2.5,0.5,0.9999999999999999,0.0025540855451590414
0.0025000000000000005,0.01,1.5,2.5,1.0,0.9999999999999999,0.0025162044931660637
0.0025000000000000005,0.01,1.5,2.5,1.5,0.9999999999999999,0.0025236903000625845
0.0025000000000000005,0.01,1.5,2.5,2.0,0.9999999999999999,0.002609360262825904
0.0025000000000000005,0.01,1.5,5.0,0.5,0.9999999999999999,0.002431018165928454
0.0025000000000000005,0.01,1.5,5.0,1.0,0.9999999999999999,0.0025775676480403143
0.0025000000000000005,0.01,1.5,5.0,1.5,0.9999999999999999,0.002383434407323585
0.0025000000000000005,0.01,1.5,5.0,2.0,0.9999999999999999,0.0024884000802968165
0.0025000000000000005,0.01,2.0,0.75,0.5,0.9999999999999999,0.0025306465747080556
0.0025000000000000005,0.01,2.0,0.75,1.0,0.9999999999999999,0.01654507850735331
0.0025000000000000005,0.01,2.0,0.75,1.5,0.9999999999999999,0.19553137895689776
0.0025000000000000005,0.01,2.0,0.75,2.0,0.9999999999999999,0.6081240259076302
0.0025000000000000005,0.01,2.0,1.0,0.5,0.9999999999999999,0.0025107647808987293
0.0025000000000000005,0.01,2.0,1.0,1.0,0.9999999999999999,0.002272923649522525
0.0025000000000000005,0.01,2.0,1.0,1.5,0.9999999999999999,0.07130624057556836
0.0025000000000000005,0.01,2.0,1.0,2.0,0.9999999999999999,0.3469207307363616
0.0025000000000000005,0.01,2.0,2.5,0.5,0.9999999999999999,0.002467244301698597
0.0025000000000000005,0.01,2.0,2.5,1.0,0.9999999999999999,0.002555688755146581
0.0025000000000000005,0.01,2.0,2.5,1.5,0.9999999999999999,0.0025296953515685913
0.0025000000000000005,0.01,2.0,2.5,2.0,0.9999999999999999,0.0024608689601244124
0.0025000000000000005,0.01,2.0,5.0,0.5,0.9999999999999999,0.0025382031333763726
0.0025000000000000005,0.01,2.0,5.0,1.0,0.9999999999999999,0.0024788670208403785
0.0025000000000000005,0.01,2.0,5.0,1.5,0.9999999999999999,0.002619362858019845
0.0025000000000000005,0.01,2.0,5.0,2.0,0.9999999999999999,0.002521878927656322
0.0025000000000000005,0.05,1.0,0.75,0.5,0.9999999999999999,0.0025496834134578253
0.0025000000000000005,0.05,1.0,0.75,1.0,0.9999999999999999,0.016550231134105347
0.0025000000000000005,0.05,1.0,0.75,1.5,0.9999999999999999,0.19552256392336345
0.0025000000000000005,0.05,1.0,0.75,2.0,0.9999999999999999,0.6081732364189134
0.0025000000000000005,0.05,1.0,1.0,0.5,0.9999999999999999,0.0025402067349233797
0.0025000000000000005,0.05,1.0,1.0,1.0,0.9999999999999999,0.0023696395671049596
0.0025000000000000005,0.05,1.0,1.0,1.5,0.9999999999999999,0.07135880263125843
0.0025000000000000005,0.05,1.0,1.0,2.0,0.9999999999999999,0.3468509311188637
0.0025000000000000005,0.05,1.0,2.5,0.5,0.9999999999999999,0.0026632070009611057
0.0025000000000000005,0.05,1.0,2.5,1.0,0.9999999999999999,0.0026342701753112236
0.0025000000000000005,0.05,1.0,2.5,1.5,0.9999999999999999,0.002558136971586878
0.0025000000000000005,0.05,1.0,2.5,2.0,0.9999999999999999,0.0026904191782198637
0.0025000000000000005,0.05,1.0,5.0,0.5,0.9999999999999999,0.002624222223085308
0.0025000000000000005,0.05,1.0,5.0,1.0,0.9999999999999999,0.00264662490114738
0.0025000000000000005,0.05,1.0,5.0,1.5,0.9999999999999999,0.002647916097350576
0.0025000000000000005,0.05,1.0,5.0,2.0,0.9999999999999999,0.0026195527409735367
0.0025000000000000005,0.05,1.5,0.75,0.5,0.9999999999999999,0.002685625711257686
0.0025000000000000005,0.05,1.5,0.75,1.0,0.9999999999999999,0.016603546316405555
0.0025000000000000005,0.05,1.5,0.75,1.5,0.9999999999999999,0.1954956687012271
0.0025000000000000005,0.05,1.5,0.75,2.0,0.9999999999999999,0.6081901896122428
0.0025000000000000005,0.05,1.5,1.0,0.5,0.9999999999999999,0.0025836364047800656
0.0025000000000000005,0.05,1.5,1.0,1.0,0.9999999999999999,0.002374518808048255
0.0025000000000000005,0.05,1.5,1.0,1.5,0.9999999999999999,0.0713877806780614
0.0025000000000000005,0.05,1.5,1.0,2.0,0.9999999999999999,0.3468765566882429
0.0025000000000000005,0.05,1.5,2.5,0.5,0.9999999999999999,0.002483007910508453
0.0025000000000000005,0.05,1.5,2.5,1.0,0.9999999999999999,0.002488051453077622
0.0025000000000000005,0.05,1.5,2.5,1.5,0.9999999999999999,0.0026244005281045365
0.0025000000000000005,0.05,1.5,2.5,2.0,0.9999999999999999,0.00266982154501351
0.0025000000000000005,0.05,1.5,5.0,0.5,0.9999999999999999,0.002583357885804245
0.0025000000000000005,0.05,1.5,5.0,1.0,0.9999999999999999,0.002589297435562628
0.0025000000000000005,0.05,1.5,5.0,1.5,0.9999999999999999,0.0024657964473110785
0.0025000000000000005,0.05,1.5,5.0,2.0,0.9999999999999999,0.0026838024922962588
0.0025000000000000005,0.05,2.0,0.75,0.5,0.9999999999999999,0.0026941571944869057
0.0025000000000000005,0.05,2.0,0.75,1.0,0.9999999999999999,0.016509077414790012
0.0025000000000000005,0.05,2.0,0.75,1.5,0.9999999999999999,0.19549829486384768
0.0025000000000000005,0.05,2.0,0.75,2.0,0.9999999999999999,0.6082148611276026
0.0025000000000000005,0.05,2.0,1.0,0.5,0.9999999999999999,0.0026055903030567642
0.0025000000000000005,0.05,2.0,1.0,1.0,0.9999999999999999,0.0023976509974363786
0.0025000000000000005,0.05,2.0,1.0,1.5,0.9999999999999999,0.07142500333151909
0.0025000000000000005,0.05,2.0,1.0,2.0,0.9999999999999999,0.34688609314462326
0.0025000000000000005,0.05,2.0,2.5,0.5,0.9999999999999999,0.0025309465725546583
0.0025000000000000005,0.05,2.0,2.5,1.0,0.9999999999999999,0.0027269689350447085
0.0025000000000000005,0.05,2.0,2.5,1.5,0.9999999999999999,0.0025923143424779176
